follower_username,followed_username,created_at
bigboydeluxe,user29,2024-08-11 11:36:06.983871
bigboydeluxe,user1,2024-08-09 11:01:04.187629
bigboydeluxe,user2,2024-08-09 11:01:08.656226
bigboydeluxe,user3,2024-08-09 11:01:12.787314
bigboydeluxe,user4,2024-08-09 11:01:21.985477
bigboydeluxe,user5,2024-08-09 11:01:27.852944
bigboydeluxe,user6,2024-08-09 11:01:34.651071
bigboydeluxe,user7,2024-08-09 11:01:40.232794
bigboydeluxe,user9,2024-08-09 11:01:45.152133
bigboydeluxe,user10,2024-08-09 11:02:13.130949
bigboydeluxe,user11,2024-08-09 11:02:17.836442
bigboydeluxe,user12,2024-08-09 11:02:23.666063
bigboydeluxe,user15,2024-08-09 11:03:29.501153
bigboydeluxe,user30,2024-08-11 11:37:01.237817
bigboydeluxe,user13,2024-08-11 15:33:59.114143
bigboydeluxe,user28,2024-08-11 16:29:04.526448
bigboydeluxe1,bigboydeluxe,2024-08-11 21:43:28.60965
bigboydeluxe,bigboydeluxe1,2024-08-11 21:44:31.191636
bigboydeluxe,user26,2024-08-09 14:46:01.299805
bigboydeluxe,user22,2024-08-15 15:37:08.316775
bigboydeluxe,user18,2024-08-10 14:13:36.448397
